condition,auroc,average_precision,accuracy,balanced_accuracy,precision,recall_tpr,specificity,fpr,f1,tn,fp,fn,tp,auroc_change_from_clean,average_precision_change_from_clean,balanced_accuracy_change_from_clean
clean,0.999441611663922,0.9997849215100623,0.9988176674267376,0.9991074843809766,1.0,0.9982149687619534,1.0,0.0,0.9991066870852475,3998,0,14,7829,0.0,0.0,0.0
jpeg_q30,0.9999971297646782,0.9999985396409701,0.9989865720800608,0.9992349866122657,1.0,0.9984699732245315,1.0,0.0,0.9992344009187188,3998,0,12,7831,0.0005555181007562693,0.00021361813090781112,0.00012750223128910054
blur_2,0.9311046094257126,0.9554711858132072,0.33797821129972133,0.5002550044625781,1.0,0.0005100089251561902,1.0,0.0,0.0010194978972855868,3998,0,7839,4,-0.06833700223820938,-0.04431373569685504,-0.49885247991839854
resize_0.25x,0.9951183356564167,0.9973391670791252,0.3414407566928469,0.5028688002040036,1.0,0.00573760040800714,1.0,0.0,0.01140973630831643,3998,0,7798,45,-0.004323276007505261,-0.002445754430937086,-0.49623868417697303
