condition,raw_auroc_ci95,vae_auroc_ci95,vae_minus_raw_auroc,vae_minus_raw_auroc_ci95,raw_change_from_clean,raw_change_from_clean_ci95,vae_change_from_clean,vae_change_from_clean_ci95,difference_in_degradation,difference_in_degradation_ci95,raw_ap_ci95,vae_ap_ci95,balanced_accuracy_difference,balanced_accuracy_difference_ci95,raw_auroc,raw_average_precision,raw_accuracy,raw_balanced_accuracy,raw_precision,raw_recall_tpr,raw_specificity,raw_fpr,raw_f1,raw_tn,raw_fp,raw_fn,raw_tp,vae_auroc,vae_average_precision,vae_accuracy,vae_balanced_accuracy,vae_precision,vae_recall_tpr,vae_specificity,vae_fpr,vae_f1,vae_tn,vae_fp,vae_fn,vae_tp
clean,"[0.9734387578208331, 0.9780378116190569]","[0.998969287333964, 0.9998065541121957]",0.02372957484734972,"[0.021463689099426694, 0.025945595837571986]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]","[0.9871237659569597, 0.9893974994342813]","[0.9996071507107723, 0.9999237057148737]",0.07031547139118455,"[0.0656187402958141, 0.07508460656440663]",0.9757120368165723,0.9882746928638394,0.9248374292711764,0.9287920129897921,0.9682154882154882,0.9166135407369629,0.9409704852426213,0.05902951475737869,0.941708147760021,3762,236,654,7189,0.999441611663922,0.9997849215100623,0.9988176674267376,0.9991074843809766,1.0,0.9982149687619534,1.0,0.0,0.9991066870852475,3998,0,14,7829
jpeg_q30,"[0.9765735100433043, 0.9808090740512422]","[0.9999939087228175, 0.9999993621699286]",0.02130888216006499,"[0.019189674207242557, 0.023423889204579298]",0.0029762107880410005,"[0.002743341420806156, 0.0032133743462321894]",0.0005555181007562693,"[0.00019249153455988544, 0.0010259855479185555]",-0.002420692687284731,"[-0.0028522604729626006, -0.0019139917083365072]","[0.9886855288102336, 0.9907619161860163]","[0.9999969029956175, 0.9999996754006082]",0.06662522578387253,"[0.06192104762377368, 0.07121910957072315]",0.9786882476046133,0.989735154596108,0.9296512118908876,0.9326097608283932,0.9688336008560727,0.9234986612265714,0.9417208604302151,0.058279139569784894,0.9456230824466348,3765,233,600,7243,0.9999971297646782,0.9999985396409701,0.9989865720800608,0.9992349866122657,1.0,0.9984699732245315,1.0,0.0,0.9992344009187188,3998,0,12,7831
blur_2,"[0.4242230679600925, 0.44527522670553693]","[0.9260054972500914, 0.9362505044438576]",0.49636377859974246,"[0.48517682036861864, 0.5082468593885112]",-0.5409712059906021,"[-0.5510630147727185, -0.5313144650866808]",-0.06833700223820938,"[-0.07339330724587079, -0.06312278445738216]",0.47263420375239273,"[0.4620974128209074, 0.48381112931513576]","[0.6113878976162319, 0.6264522831914175]","[0.9514572131641157, 0.9594658278945764]",0.0112645414891559,"[0.007355276994611007, 0.015357313283059998]",0.43474083082597015,0.6185568405715884,0.3406806857528925,0.4889904629734222,0.5382978723404256,0.03225806451612903,0.9457228614307154,0.05427713856928464,0.06086851918681583,3781,217,7590,253,0.9311046094257126,0.9554711858132072,0.33797821129972133,0.5002550044625781,1.0,0.0005100089251561902,1.0,0.0,0.0010194978972855868,3998,0,7839,4
resize_0.25x,"[0.4805346221497846, 0.5023072346768819]","[0.994030504510192, 0.9961270862385165]",0.5037873871271987,"[0.49254666779392503, 0.5147715448952324]",-0.4843810882873542,"[-0.49456783488646017, -0.47409752386712284]",-0.004323276007505261,"[-0.005412631567600712, -0.0033567234656471908]",0.48005781227984895,"[0.46980496615450396, 0.4903463027414513]","[0.6390839226785783, 0.6551472882242975]","[0.9965115264025292, 0.9980070162807133]",0.010398862570390133,"[0.00639930724957023, 0.014415623756032073]",0.49133094852921805,0.6466972050202766,0.3443965881260029,0.49246993763361346,0.5813008130081301,0.0364656381486676,0.9484742371185593,0.05152576288144072,0.068626274745051,3792,206,7557,286,0.9951183356564167,0.9973391670791252,0.3414407566928469,0.5028688002040036,1.0,0.00573760040800714,1.0,0.0,0.01140973630831643,3998,0,7798,45
